login,full_name,created_at,pushed_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
ManiMozaffar,ManiMozaffar/richapi,2023-04-01T09:59:16Z,2024-10-27T00:21:31Z,121,121,Python,true,true,
ff6347,ff6347/p5-easing,2024-09-24T10:21:26Z,2024-10-27T00:21:08Z,1,1,JavaScript,true,true,bsd-3-clause
ebrugulec,ebrugulec/year-progress,2020-10-26T21:49:42Z,2024-10-27T00:20:35Z,22,22,JavaScript,true,true,
geekdada,geekdada/ChatGPT-Next-Web,2023-04-02T04:49:04Z,2024-10-27T00:13:37Z,0,0,TypeScript,true,false,mit
geekdada,geekdada/surge-list,2018-10-11T05:12:57Z,2024-10-27T00:12:13Z,223,223,Smarty,true,true,
AmruthPillai,AmruthPillai/Reactive-Resume,2020-03-25T14:08:22Z,2024-10-27T00:10:57Z,23411,23411,TypeScript,false,false,mit
dmonad,dmonad/gutenberg,2019-11-06T21:52:36Z,2024-10-27T00:10:49Z,0,0,JavaScript,true,false,other
localheinz,localheinz/localheinz,2020-07-04T21:14:31Z,2024-10-27T00:06:17Z,2,2,Makefile,false,false,mit
plutov,plutov/plutov,2021-03-30T19:30:39Z,2024-10-27T00:01:15Z,0,0,,true,true,
philippjfr,philippjfr/panel-graphic-walker,2024-10-25T21:29:55Z,2024-10-26T23:44:57Z,2,2,Python,true,true,
ndom91,ndom91/ndom91,2020-07-10T15:51:33Z,2024-10-26T23:32:36Z,0,0,,true,true,
weaveworks,weaveworks/weave-gitops,2021-02-26T13:58:44Z,2024-10-26T23:09:41Z,919,919,MDX,true,false,apache-2.0
camunda,camunda/c8-sm-checks,2024-04-16T09:51:20Z,2024-10-26T22:45:31Z,0,0,Shell,false,false,other
ndom91,ndom91/nix-config,2024-02-26T14:48:46Z,2024-10-26T22:38:14Z,4,4,Nix,false,false,mit
andydandy74,andydandy74/ClockworkForDynamo,2013-12-09T10:11:01Z,2024-10-26T22:32:07Z,220,220,Python,true,true,mit
maateen,maateen/docker-beanstalkd,2020-06-01T12:39:54Z,2024-10-26T22:28:46Z,12,12,Dockerfile,false,false,gpl-3.0
nschloe,nschloe/tiptop,2021-09-24T14:46:17Z,2024-10-26T22:23:37Z,1760,1760,Python,true,true,mit
zeenix,zeenix/zbus,2023-05-13T17:35:48Z,2024-10-26T22:19:57Z,0,0,Rust,true,false,other
delucis,delucis/astro-embed,2022-04-07T07:32:03Z,2024-10-26T22:01:19Z,204,204,JavaScript,false,false,mit
cristianoliveira,cristianoliveira/funzzy,2016-03-21T20:15:36Z,2024-10-26T21:57:55Z,236,236,Rust,true,true,mit
ligi,ligi/PassAndroid,2013-01-23T15:34:45Z,2024-10-26T21:50:03Z,814,814,Kotlin,false,false,gpl-3.0
nikku,nikku/wuffle,2019-03-20T21:45:21Z,2024-10-26T21:49:48Z,118,118,JavaScript,false,false,mit
wix,wix/stylable,2017-06-25T11:07:05Z,2024-10-26T21:48:54Z,1268,1268,TypeScript,true,true,mit
janlelis,janlelis/unicode-sequence_name,2017-04-02T21:20:33Z,2024-10-26T21:40:57Z,6,6,Ruby,true,true,mit
janlelis,janlelis/unicoder,2016-04-13T17:55:38Z,2024-10-26T21:37:31Z,9,9,Ruby,true,true,mit
janlelis,janlelis/unicode-name.js,2024-10-06T19:18:58Z,2024-10-26T21:34:43Z,5,5,JavaScript,true,true,mit
PurpleBooth,PurpleBooth/generate-formula-action,2021-10-16T19:34:50Z,2024-10-26T21:21:21Z,0,0,,true,true,
nikku,nikku/markmark,2022-10-31T22:47:20Z,2024-10-26T21:20:21Z,10,10,JavaScript,false,false,mit
chrisguttandin,chrisguttandin/muted-audio-element-test,2020-11-04T12:43:56Z,2024-10-26T21:20:09Z,0,0,JavaScript,true,false,mit
chrisguttandin,chrisguttandin/mse-tests,2016-10-11T11:42:33Z,2024-10-26T21:17:05Z,1,1,JavaScript,true,false,mit
camunda,camunda/camunda-tf-rosa,2024-05-15T08:23:15Z,2024-10-26T21:16:42Z,0,0,HCL,false,false,other
sschmid,sschmid/pw-terminal-password-manager,2021-10-28T11:30:01Z,2024-10-26T21:13:27Z,21,21,Shell,true,true,mit
chrisguttandin,chrisguttandin/metadata-detector-streams,2017-01-23T18:29:51Z,2024-10-26T21:05:44Z,4,4,TypeScript,true,false,mit
chrisguttandin,chrisguttandin/metadata-detector,2015-10-08T16:15:31Z,2024-10-26T21:04:09Z,6,6,JavaScript,true,false,mit
chrisguttandin,chrisguttandin/metadata-detector-broker,2017-05-17T01:37:40Z,2024-10-26T21:01:11Z,1,1,JavaScript,true,false,mit
chrisguttandin,chrisguttandin/metadata-detector-worker,2017-05-17T00:47:32Z,2024-10-26T20:58:52Z,0,0,JavaScript,true,false,mit
chrisguttandin,chrisguttandin/media-session-with-web-audio-test,2024-08-22T09:41:41Z,2024-10-26T20:55:49Z,1,1,JavaScript,true,false,mit
chrisguttandin,chrisguttandin/media-production-workshop-2021,2021-10-25T19:03:26Z,2024-10-26T20:55:05Z,0,0,TypeScript,true,false,mit
prisma,prisma/prisma-engines,2019-08-23T16:25:29Z,2024-10-26T20:47:44Z,1185,1185,Rust,true,false,apache-2.0
matthiasn,matthiasn/lotti,2016-03-16T15:01:59Z,2024-10-26T20:43:05Z,498,498,Dart,true,true,gpl-3.0
vadorovsky,vadorovsky/bpf-linker,2021-09-07T22:32:04Z,2024-10-26T20:34:52Z,0,0,Rust,true,true,apache-2.0
wolfv,wolfv/jolt-physics-feedstock,2024-09-26T07:08:11Z,2024-10-26T20:33:45Z,0,0,,true,false,bsd-3-clause
iotaledger,iotaledger/iota-wiki,2021-05-21T19:56:18Z,2024-10-26T20:29:04Z,117,117,TypeScript,true,true,other
LefterisJP,LefterisJP/rotkehlchen,2018-03-28T23:11:50Z,2024-10-26T20:13:01Z,0,0,Python,true,true,agpl-3.0
wolfv,wolfv/rust-forge,2024-03-18T12:30:34Z,2024-10-26T20:11:45Z,8,8,,true,true,
seia-soto,seia-soto/adblocker,2024-01-09T02:43:07Z,2024-10-26T20:10:53Z,0,0,TypeScript,false,false,mpl-2.0
endocrimes,endocrimes/kubernetes,2019-06-05T15:52:38Z,2024-10-26T20:01:17Z,1,1,Go,true,false,apache-2.0
lislis,lislis/ostpark-walk,2024-09-24T08:40:27Z,2024-10-26T19:58:16Z,0,0,Svelte,false,false,
Expensify,Expensify/CLA,2020-12-12T00:06:27Z,2024-10-26T19:56:18Z,0,0,,true,true,
nikku,nikku/run-camunda,2018-03-09T10:09:52Z,2024-10-26T19:53:20Z,14,14,JavaScript,false,false,mit
prisma,prisma/prisma-client-extensions,2022-12-06T18:58:50Z,2024-10-26T19:52:03Z,175,175,TypeScript,false,false,apache-2.0
ThisIsMissEm,ThisIsMissEm/fedify,2024-09-19T19:55:03Z,2024-10-26T19:41:41Z,0,0,,true,false,mit
mwarning,mwarning/KadNode,2013-06-23T21:06:21Z,2024-10-26T19:35:24Z,412,412,C,true,true,mit
sschmid,sschmid/Actions-Tester,2024-10-22T14:58:48Z,2024-10-26T19:30:45Z,0,0,Shell,true,true,
camunda,camunda/camunda,2016-03-20T03:38:04Z,2024-10-26T19:27:42Z,3310,3310,Java,true,true,
kashif,kashif/trl,2023-02-21T09:32:36Z,2024-10-26T19:02:13Z,3,3,Python,true,true,apache-2.0
